"Дата", "Максимальная температура", "Минимальная температура", "Средняя температура", "Атмосферное давление гПа", "Скорость ветра м/с", "Осадки мм", "Эффективная температура"
01.01.2015, -1.1, -9.8, -4.3, 986.9, 4, 1, -8.9
02.01.2015, 0.9, -2.7, 0.3, 978.0, 4, , -3.8
03.01.2015, 2.2, 0.5, 1.4, 966.1, 6, 3, -4
04.01.2015, 0.9, -1.0, 0.1, 962.6, 6, 1, -5.4
05.01.2015, -1.7, -11.9, -6.4, 972.2, 3, 3, -10.7
06.01.2015, -15.2, -20.4, -17.8, 991.2, 3, 1, -22.9
07.01.2015, -17.9, -22.6, -20.1, 1004.3, 2, 0, -24.7
08.01.2015, -10.5, -20.8, -14.6, 1000.9, 4, , -20.2
09.01.2015, -7.5, -11.5, -9.9, 977.4, 4, 4, -15.1
10.01.2015, 0.2, -11.7, -1.2, 968.6, 3, 2, -4.9
11.01.2015, 0.7, -3.8, -0.8, 962.0, 4, 5, -5.1
12.01.2015, 0.6, -3.4, -0.6, 968.7, 4, 1, -5
13.01.2015, 2.7, -4.4, -0.4, 978.8, 5, 1, -5.4
14.01.2015, 2.7, 0.6, 2.1, 983.8, 4, 0, -1.9
15.01.2015, 2.0, 0.4, 1.3, 988.3, 2, 1, -1.5
16.01.2015, 1.2, -1.7, -0.3, 997.0, 2, 0, -3.4
17.01.2015, -1.0, -2.5, -1.4, 995.1, 4, 0, -5.8
18.01.2015, 0.2, -1.6, -0.3, 992.2, 3, 1, -3.8
19.01.2015, 0.5, -6.7, -1.9, 994.8, 1, 0, -4.4
20.01.2015, -0.5, -8.7, -3.4, 1001.6, 1, 0, -6.1
21.01.2015, -4.5, -11.5, -7.1, 1006.9, 1, 0, -10.1
22.01.2015, -7.0, -13.8, -10.5, 1006.5, 1, 0, -13.8
23.01.2015, -2.5, -10.0, -6.0, 1005.4, 3, 0, -10.2
24.01.2015, -2.5, -6.2, -3.8, 1002.8, 4, 4, -8.5
25.01.2015, -7.7, -13.7, -11.5, 1006.0, 3, 0, -16.2
26.01.2015, -8.2, -13.1, -9.8, 1000.1, 3, 0, -14.4
27.01.2015, -6.7, -9.0, -7.4, 994.7, 2, 4, -11.1
28.01.2015, -3.5, -7.6, -5.1, 989.4, 1, 1, -7.9
29.01.2015, -1.9, -6.1, -4.1, 984.9, 3, 0, -8.1
30.01.2015, -1.5, -4.0, -3.0, 982.7, 4, 0, -7.5
31.01.2015, 2.4, -4.0, 0.7, 976.2, 5, 4, -4.1
01.02.2015, 2.7, -0.5, 1.4, 973.1, 4, 4, -2.7
02.02.2015, 0.7, -5.9, -1.9, 972.0, 3, 2, -5.7
03.02.2015, -2.4, -6.9, -3.1, 976.2, 3, 5, -7
04.02.2015, -2.9, -5.4, -4.0, 983.8, 2, 0, -7.4
05.02.2015, -4.4, -6.3, -5.6, 994.1, 2, 1, -9.2
06.02.2015, -6.9, -11.0, -8.8, 995.0, 2, 0, -12.6
07.02.2015, -3.0, -11.1, -6.5, 979.0, 3, 1, -10.8
08.02.2015, -0.9, -8.7, -2.0, 965.0, 4, 1, -6.5
09.02.2015, -2.2, -9.1, -6.2, 974.9, 3, 0, -10.5
10.02.2015, -4.8, -15.6, -11.0, 992.7, 1, 0, -14.4
11.02.2015, -2.2, -13.1, -6.3, 996.8, 3, 0, -10.6
12.02.2015, -1.9, -5.7, -2.8, 998.5, 3, 0, -6.6
13.02.2015, -1.2, -3.9, -1.7, 999.6, 2, 0, -4.9
14.02.2015, -2.1, -3.8, -3.4, 999.6, 3, 0, -7.4
15.02.2015, -1.5, -6.4, -4.3, 995.8, 4, 1, -9
16.02.2015, -5.2, -11.3, -7.8, 1010.3, 4, 0, -13
17.02.2015, -3.2, -13.9, -8.2, 1013.4, 2, 0, -12.3
18.02.2015, 0.2, -15.8, -4.9, 1000.6, 3, 0, -9.3
19.02.2015, -0.2, -6.6, -3.0, 992.7, 2, , -6.3
20.02.2015, 1.0, -6.6, -0.3, 989.5, 4, 0, -4.6
21.02.2015, 5.4, -0.3, 1.9, 989.1, 3, 0, -1.5
22.02.2015, 1.4, -0.2, 0.6, 992.2, 4, 0, -3.8
23.02.2015, 2.9, -0.4, 1.3, 994.7, 3, 0, -2.2
24.02.2015, 2.2, -2.1, 0.2, 996.6, 3, 0, -3.5
25.02.2015, 3.4, -4.2, -0.8, 1000.1, 3, 0, -4.7
26.02.2015, 1.7, -2.8, -0.8, 1001.7, 3, 0, -4.6
27.02.2015, 1.2, -1.6, 0.0, 998.3, 3, 0, -3.5
28.02.2015, 1.5, 0.2, 1.0, 994.9, 2, 7, -1.7
01.03.2015, 0.0, -2.5, -1.0, 994.7, 2, 1, -4
02.03.2015, 0.4, -2.6, -1.1, 991.8, 3, 0, -4.8
03.03.2015, 0.2, -1.4, -0.4, 991.1, 3, 1, -4
04.03.2015, 0.9, -0.7, -0.1, 991.5, 2, 2, -3
05.03.2015, 1.9, -0.8, 0.3, 995.9, 1, 4, -2
06.03.2015, 3.0, -2.6, -0.1, 1000.8, 1, 0, -2.6
07.03.2015, 2.6, -3.5, -0.4, 1004.0, 1, 0, -2.9
08.03.2015, 4.3, -3.6, 0.8, 1001.3, 3, 0, -2.7
09.03.2015, 9.2, 2.2, 6.3, 996.6, 3, 0, 3.2
10.03.2015, 10.5, 3.6, 6.3, 1000.9, 1, 0, 4.5
11.03.2015, 11.1, 1.0, 5.6, 997.1, 1, 0, 3.8
12.03.2015, 5.8, -1.6, 2.3, 1000.2, 4, 0, -1.7
13.03.2015, 4.0, 0.8, 2.3, 1010.0, 5, 0, -2.5
14.03.2015, 5.2, -1.7, 1.1, 1016.5, 2, 0, -2.1
15.03.2015, 9.5, -3.4, 2.8, 1019.0, 2, 0, -0.4
16.03.2015, 9.0, -1.3, 3.4, 1022.6, 3, 0, -0.5
