Год-Месяц,Tmax,Tmin,Tavg,Осадки мм,Атмосферное давление гПа,Скорость ветра м/с,Эффективная температура
2015-01,2.7,-22.6,-4.703225806451614,37.0,987.9387096774193,3.193548387096774,-8.86774193548387
2015-02,5.4,-15.8,-3.107142857142857,22.0,991.7928571428572,2.892857142857143,-7.010714285714286
2015-03,12.7,-10.5,1.4193548387096775,15.0,999.832258064516,2.9,-2.24
2015-04,11.1,-3.7,1.9888888888888887,18.0,985.0888888888888,2.6666666666666665,-1.2666666666666666
2015-05,18.4,5.0,9.95,46.0,981.4,3.75,7.1
2015-07,25.1,11.2,15.633333333333333,38.0,982.0333333333333,2.3333333333333335,14.933333333333332
2015-08,21.3,12.5,15.8,10.0,991.2,2.0,15.1
2015-09,14.8,11.5,12.5,6.0,987.4,1.0,12.2
2015-10,1.9,-0.3,0.8,2.0,989.2,1.0,-1.3
2015-11,6.2,-10.7,-1.45625,47.0,985.9375,2.25,-4.64375
2015-12,8.9,-11.7,-0.08000000000000007,53.0,991.2466666666667,3.1333333333333333,-3.7333333333333334
2016-01,3.3,-25.7,-9.980645161290322,82.0,988.316129032258,2.7096774193548385,-14.306451612903226
2016-02,3.7,-10.5,-1.110344827586207,49.0,990.7137931034483,3.3214285714285716,-5.125
2016-03,8.0,-13.3,-0.5451612903225806,78.0,989.2612903225806,2.4516129032258065,-3.916129032258065
2016-04,14.5,-4.5,5.044444444444444,27.0,985.2222222222222,2.888888888888889,1.9222222222222223
2016-05,15.8,10.1,12.45,34.0,985.8,2.5,11.1
2016-06,26.5,5.9,14.960000000000003,16.0,987.1600000000001,1.75,16.6
2016-07,31.8,14.5,21.740000000000002,82.0,987.6200000000001,1.8,22.47
2016-08,29.0,9.4,17.490000000000002,79.0,993.26,2.0,17.28
2016-09,22.0,5.0,10.866666666666667,13.0,990.0833333333334,2.1666666666666665,9.383333333333335
2016-10,20.0,-3.1,8.555555555555555,9.0,992.4555555555556,2.4285714285714284,7.371428571428572
2016-11,7.6,-15.3,-2.9310344827586206,60.0,993.7068965517242,2.8620689655172415,-6.748275862068965
2016-12,1.6,-21.6,-5.836666666666667,38.0,990.0966666666667,2.6333333333333333,-9.756666666666666
2017-01,1.1,-24.6,-7.983333333333333,50.0,993.3933333333333,2.7,-12.113333333333333
2017-02,3.9,-26.4,-5.271428571428571,23.0,992.282142857143,3.107142857142857,-9.475
2017-03,10.4,-7.3,2.0193548387096776,37.0,990.2516129032258,2.5483870967741935,-1.2032258064516128
2017-04,14.2,-0.5,5.490909090909091,24.0,990.3,2.8181818181818183,2.481818181818182
