Дата,Tx,Tn,T,RRR,U,P,Po,Ff
2015-06-06,21.5,6.7,14.2125,0.0,53.875,769.1375,750.7125,2.375
2015-06-07,26.5,7.8,18.525,0.0,53.5,768.15,750.0,2.5
2015-06-08,22.7,16.0,17.8375,1.0,58.5,764.1875,746.1125,2.375
2015-06-09,21.8,8.5,16.375,0.0,53.375,764.7,746.5125,1.75
2015-06-10,20.7,9.2,15.4,0.0,50.0,765.925,747.625,0.875
2015-06-11,21.7,8.5,15.837499999999999,0.0,51.125,762.4375,744.2125,1.625
2015-06-12,22.9,12.3,17.4,0.0,47.875,761.525,743.5,2.5
2015-06-13,26.4,7.3,18.8875,0.0,49.75,762.925,744.95,1.875
2015-06-14,29.8,14.8,22.4125,1.2,51.25,758.0625,740.5,3.125
2015-06-15,31.7,19.2,24.4875,0.0,48.25,755.6125,738.15,3.25
2015-06-16,22.9,15.8,18.0,14.0,81.625,756.9,739.0625,1.875
2015-06-17,15.5,13.9,13.575,12.0,84.25,760.0375,741.85,1.5
2015-06-18,19.1,5.9,13.475,0.7,66.875,760.6,742.425,1.5
2015-06-19,19.0,10.3,15.174999999999999,0.0,67.75,757.725,739.7,3.0
2015-06-20,22.9,15.0,18.575,4.0,79.375,755.8625,738.0125,1.5
2015-06-21,20.9,15.8,17.9625,0.0,86.125,755.6,737.775,1.875
2015-06-22,26.4,12.5,19.775,0.0,70.5,758.55,740.825,1.25
2015-06-23,24.7,15.0,19.425,8.0,73.75,760.1125,742.3125,1.75
2015-06-24,27.1,11.8,20.875,0.0,63.125,761.8625,743.9875,0.875
2015-06-25,24.7,17.6,20.8,0.0,64.5,760.5375,742.75,2.25
2015-06-26,21.4,15.2,18.2125,2.0,83.5,758.525,740.7125,2.0
2015-06-27,25.5,17.8,19.4625,22.0,87.875,753.375,735.7875,2.375
2015-06-28,15.8,14.6,15.025,6.0,86.5,755.8125,737.825,3.25
2015-06-29,19.9,12.2,15.262500000000001,44.0,78.75,759.75,741.725,2.5
2015-06-30,22.4,13.0,17.575,0.0,66.375,760.525,742.6625,1.25
2015-07-01,24.2,13.4,18.65,0.0,67.25,761.2625,743.4,1.375
2015-07-02,26.2,12.1,19.3875,0.0,64.75,763.925,745.95,1.75
2015-07-03,21.6,13.7,17.9875,0.0,58.0,768.4375,750.2375,2.75
2015-07-04,29.2,13.8,21.9375,0.0,57.625,766.175,748.3125,3.25
2015-07-05,29.1,17.5,23.35,0.0,60.125,760.1375,742.4875,2.75
2015-07-06,22.3,15.6,18.6875,0.0,56.625,760.4,742.4375,2.25
2015-07-07,24.6,11.2,17.1375,1.2,70.25,757.875,739.975,2.5
2015-07-08,26.7,12.4,20.0125,0.0,60.625,755.9,738.2,2.875
2015-07-09,29.1,19.1,23.6125,1.0,63.625,754.4375,737.0375,1.875
2015-07-10,25.4,18.5,20.425,2.5,73.75,753.1125,735.525,2.125
2015-07-11,19.3,10.9,14.4125,4.0,80.125,752.0375,734.125,2.25
2015-07-12,18.2,11.2,13.6125,28.1,85.375,748.9375,731.1125,3.0
2015-07-13,18.6,10.4,13.9625,0.0,78.25,753.4375,735.4375,2.0
2015-07-14,21.6,11.5,16.35,1.5,70.0,755.9,737.95,1.25
2015-07-15,21.8,10.5,16.5375,0.0,68.125,756.675,738.7,1.0
2015-07-16,23.0,13.6,18.225,0.0,60.0,757.4125,739.6125,1.5
2015-07-17,24.1,11.0,17.6,0.0,64.875,758.8625,740.925,1.75
2015-07-18,20.1,12.6,16.0,20.0,77.125,757.9625,739.95,1.875
2015-07-19,21.7,10.8,16.75,0.0,74.375,760.35,742.3375,2.125
