Год-Месяц,Tx,Tn,T,RRR,U,P,Po,Ff
2015-06,31.7,5.9,17.782,114.9,66.335,760.3375,742.3875,2.04
2015-07,31.5,10.4,18.608064516129033,135.3,68.99596774193549,757.6068548387096,739.7798387096774,2.225806451612903
2015-08,33.2,4.2,17.481781376518217,20.0,63.70040485829959,764.995951417004,746.8846153846154,1.7206477732793521
2015-09,30.0,2.4,14.424583333333334,95.3,70.84583333333333,765.0141666666666,746.7208333333333,1.8125
2015-10,20.7,-7.8,4.046747967479675,26.2,73.73170731707317,766.7422764227642,747.6934959349594,2.182926829268293
2015-11,11.4,-10.7,0.23333333333333334,94.7,88.19166666666666,760.145,741.0,2.15
2015-12,8.9,-11.7,-0.32793522267206476,104.5,84.93522267206478,762.9886639676114,743.723076923077,3.145748987854251
2016-01,3.3,-25.7,-10.042741935483871,159.7,83.51612903225806,761.3625,741.4153225806451,2.6370967741935485
2016-02,3.7,-10.5,-1.0826839826839827,92.7,83.21212121212122,762.3233766233767,743.0411255411256,3.142857142857143
2016-03,8.0,-13.3,-0.5649193548387097,140.9,79.45564516129032,761.2786290322581,742.0395161290322,2.350806451612903
2016-04,21.1,-4.5,8.147916666666667,101.6,67.37916666666666,758.3791666666667,739.8170833333334,2.5416666666666665
2016-05,26.3,1.6,14.09274193548387,107.4,66.34274193548387,760.6600806451613,742.4524193548388,1.903225806451613
2016-06,30.8,4.2,17.759999999999998,126.7,67.46666666666667,760.8241666666667,742.8816666666667,2.1625
2016-07,32.7,10.2,20.742682926829268,200.4,70.2560975609756,758.6191056910569,740.9134146341464,1.9552845528455285
2016-08,33.6,9.1,19.258064516129032,218.9,72.8991935483871,762.5814516129033,744.6774193548387,1.8185483870967742
2016-09,23.7,3.4,11.244583333333333,32.0,78.825,761.0745833333333,742.6708333333333,2.3375
2016-10,20.0,-5.0,3.997983870967742,44.8,79.29838709677419,771.0237903225806,751.8870967741935,2.068548387096774
2016-11,5.4,-15.3,-2.8779166666666667,161.4,84.425,764.48125,744.9941666666667,2.8958333333333335
2016-12,1.6,-20.9,-5.708467741935484,71.1,87.3508064516129,762.2560483870968,742.616935483871,2.600806451612903
2017-01,1.1,-24.6,-7.686693548387097,97.0,85.7741935483871,764.6149193548387,744.7588709677419,2.7620967741935485
2017-02,3.9,-26.4,-5.319196428571429,45.9,79.83035714285714,763.9357142857143,744.2950892857143,2.9598214285714284
2017-03,10.4,-7.3,2.0504032258064515,70.5,75.01209677419355,761.8366935483871,742.7572580645161,2.560483870967742
2017-04,24.5,-6.5,6.434583333333333,64.6,61.020833333333336,760.1570833333334,741.45,3.0791666666666666
2017-05,26.2,-1.9,11.22217741935484,83.8,59.86290322580645,760.7318548387096,742.3455645161291,2.3588709677419355
2017-06,29.0,2.3,14.689166666666667,108.4,69.43333333333334,756.5745833333333,738.5383333333334,2.254166666666667
2017-07,30.1,8.0,17.719758064516128,234.5,73.84274193548387,757.6798387096775,739.8125,2.1048387096774195
2017-08,31.3,7.4,18.878225806451614,122.2,69.83467741935483,762.9854838709678,745.0584677419355,1.9435483870967742
2017-09,27.7,2.9,12.80375,97.7,75.1,765.2591666666667,746.9016666666666,2.3666666666666667
2017-10,15.1,-4.5,4.827016129032257,146.2,81.99596774193549,759.6165322580645,740.8641129032258,2.4475806451612905
2017-11,6.9,-10.4,-0.6695833333333333,77.7,87.5625,764.1741666666666,744.8854166666666,2.5708333333333333
2017-12,7.4,-8.2,-0.014919354838709676,168.4,90.66935483870968,759.7750000000001,740.6459677419356,2.649193548387097
2018-01,4.1,-17.5,-5.262903225806451,90.2,84.23790322580645,766.4967741935484,746.8354838709678,2.786290322580645
2018-02,1.8,-26.4,-9.56875,74.4,81.82959641255606,767.9191964285714,747.9379464285714,2.1026785714285716
2018-03,4.3,-20.5,-6.781451612903226,76.9,69.6975806451613,760.8721774193548,741.2447580645162,2.407258064516129
2018-04,22.4,-4.4,7.5962184873949585,95.5,60.239495798319325,761.6262499999999,743.0033333333333,2.5481171548117154
2018-05,29.0,3.3,16.191532258064516,126.0,58.29435483870968,764.6201612903226,746.4862903225807,2.125
2018-06,32.4,3.3,17.108333333333334,29.6,57.833333333333336,759.8766666666667,741.8308333333333,2.091666666666667
2018-07,29.4,12.2,19.845161290322583,208.3,73.65725806451613,757.7766129032258,739.996370967742,2.1129032258064515
2018-08,30.7,5.8,19.110887096774192,37.1,63.560483870967744,763.3020161290323,745.308064516129,1.6330645161290323
2018-09,27.9,-0.8,14.635833333333332,98.7,67.3125,763.6291666666667,745.3333333333334,2.1875
2018-10,21.3,-1.6,6.720967741935484,84.8,78.95564516129032,764.7104838709678,745.8620967741934,2.0524193548387095
2018-11,9.9,-19.1,-2.1216666666666666,29.7,79.87083333333334,772.8058333333333,753.1354166666666,2.1041666666666665
2018-12,1.3,-18.2,-6.236693548387097,109.6,88.78629032258064,766.2794354838709,746.4616935483871,1.939516129032258
2019-01,0.9,-25.7,-8.07016129032258,85.7,86.9758064516129,759.6818548387097,739.8955645161291,2.4596774193548385
2019-02,4.9,-12.9,-2.2035714285714287,70.4,82.71875,762.2781249999999,742.8508928571429,3.0714285714285716
2019-03,16.3,-13.4,0.16774193548387098,65.1,77.4758064516129,757.9221774193549,738.7883064516129,2.661290322580645
2019-04,25.0,-5.5,7.742916666666667,84.1,54.266666666666666,766.5041666666667,747.6529166666667,2.154166666666667
2019-05,29.2,-0.3,16.098790322580644,82.5,63.57661290322581,760.4165322580644,742.296370967742,1.935483870967742
2019-06,31.9,7.0,19.692083333333336,166.0,61.454166666666666,763.0716666666667,745.1270833333333,1.5916666666666666
2019-07,28.1,7.8,16.72298387096774,139.8,71.98790322580645,756.0112903225806,738.0556451612903,2.0443548387096775
2019-08,29.7,3.9,16.17822580645161,71.4,73.48387096774194,761.7153225806452,743.5802419354839,1.8508064516129032
2019-09,26.6,-3.8,11.85125,44.4,70.97083333333333,762.2670833333334,743.8220833333332,1.7708333333333333
2019-10,20.3,-4.3,8.668548387096775,96.5,77.83064516129032,761.2048387096773,742.5758064516128,2.6330645161290325
2019-11,12.8,-12.9,1.13375,37.9,83.0,768.6158333333333,749.2704166666666,2.408333333333333
2019-12,6.6,-6.6,-0.09959514170040486,55.4,89.02429149797571,760.6433198380566,741.4165991902834,2.866396761133603
2020-01,3.1,-8.5,-0.6713709677419355,86.9,86.66935483870968,761.3036290322581,742.0536290322581,3.0201612903225805
2020-02,7.3,-16.8,-1.1952586206896552,93.5,81.51293103448276,756.7202586206897,737.6422413793103,2.831896551724138
2020-03,16.8,-7.0,3.9056910569105687,37.7,66.55284552845528,762.8134146341464,744.1600806451613,2.9274193548387095
2020-04,17.8,-8.7,5.1850000000000005,36.8,59.07083333333333,758.0485355648536,739.4920833333333,3.0875
2020-05,25.5,0.2,11.248387096774193,177.5,71.39112903225806,759.1935483870968,740.7838709677419,2.225806451612903
2020-06,30.6,8.0,18.63625,340.0,74.55833333333334,761.4375,743.4733333333334,1.8
2020-07,31.7,7.0,19.043951612903225,145.8,74.69354838709677,759.2858870967742,741.4048387096774,1.717741935483871
2020-08,31.3,6.6,17.164112903225806,54.4,74.23790322580645,760.7850806451613,742.7354838709678,1.5241935483870968
2020-09,27.4,3.1,14.08625,105.1,67.21666666666667,764.04625,745.7175000000001,2.191666666666667
2020-10,21.1,-0.7,9.80241935483871,63.1,70.00403225806451,765.1326612903225,746.5677419354838,2.1653225806451615
2020-11,10.5,-8.7,1.3861924686192468,85.8,86.5397489539749,768.3045833333333,749.245,2.6708333333333334
2020-12,1.2,-14.6,-5.020161290322581,58.2,81.18951612903226,772.2181451612903,752.5467741935485,2.3346774193548385
2021-01,2.2,-24.4,-5.379838709677419,136.8,84.73387096774194,760.5040322580645,741.1770161290323,2.25
2021-02,5.8,-28.4,-11.077828054298642,110.6,78.04072398190046,763.5379464285714,743.5339285714286,2.1919642857142856
2021-03,9.3,-24.4,-1.991532258064516,49.0,73.84274193548387,761.9459677419355,742.7483870967742,2.4475806451612905
2021-04,22.4,-4.2,6.963333333333334,183.5,70.75833333333334,760.8375,742.235,2.6083333333333334
2021-05,31.4,3.0,13.861693548387096,234.2,67.43951612903226,759.5701612903225,741.4794354838709,2.4879032258064515
2021-06,33.7,2.8,19.904166666666665,137.5,66.8375,761.63125,743.73625,1.6666666666666667
2021-07,32.2,9.0,21.74435483870968,38.4,65.76612903225806,760.3939516129033,742.6560483870968,1.528225806451613
2021-08,34.0,7.4,20.174999999999997,97.9,69.46774193548387,760.6564516129032,742.8096774193548,1.5443548387096775
2021-09,24.8,-1.5,10.064853556485355,159.7,80.45188284518828,761.8317991631799,743.2891213389122,2.1171548117154813
2021-10,15.4,-4.4,5.566129032258065,65.1,77.24193548387096,768.391129032258,749.366935483871,2.185483870967742
2021-11,12.7,-9.7,2.1129166666666666,105.0,83.8625,761.4683333333334,742.3854166666666,3.0541666666666667
2021-12,2.9,-24.1,-6.391129032258065,121.8,88.375,760.8766129032258,741.1826612903226,2.254032258064516
2022-01,1.1,-20.5,-5.636290322580645,213.0,88.78629032258064,756.6322580645161,737.1080645161289,2.629032258064516
2022-02,5.0,-18.2,-2.0267857142857144,51.1,81.87946428571429,759.1437500000001,739.8178571428572,2.6517857142857144
2022-03,11.9,-14.1,-1.697983870967742,20.2,66.96370967741936,767.2709677419356,747.7548387096774,2.1774193548387095
2022-04,18.1,-4.9,6.087083333333334,203.8,76.25416666666666,758.73625,739.9991666666666,2.6458333333333335
2022-05,21.4,-3.0,10.75241935483871,84.8,57.818548387096776,759.5617886178862,741.1303643724697,2.528225806451613
2022-06,31.8,7.3,18.286610878661087,60.1,66.64853556485356,760.907949790795,742.9218487394958,1.8619246861924685
2022-07,32.3,7.0,19.765432098765434,154.8,67.97119341563786,759.8156378600823,741.959670781893,1.7613168724279835
2022-08,32.7,11.4,21.325000000000003,47.5,60.99193548387097,764.9270161290323,747.0495967741934,1.8508064516129032
2022-09,18.1,-1.8,9.392916666666668,199.0,82.2,759.32375,740.8058333333333,1.9041666666666666
2022-10,18.5,-4.5,7.189112903225807,146.1,82.04838709677419,763.1842741935484,744.4157258064516,2.157258064516129
2022-11,10.9,-10.6,-0.715,63.6,88.02083333333333,766.0608333333333,746.6629166666667,2.425
2022-12,2.9,-13.3,-3.7737903225806453,271.8,89.125,766.9866935483872,747.3310483870968,2.2419354838709675
2023-01,5.0,-24.3,-5.416935483870968,56.6,83.33467741935483,768.0875000000001,748.2701612903226,2.8306451612903225
2023-02,2.7,-18.4,-4.640178571428572,81.9,82.73214285714286,762.1285714285714,742.5281249999999,2.6205357142857144
2023-03,16.2,-9.0,1.386290322580645,142.8,78.51209677419355,756.9870967741934,737.9653225806452,2.6330645161290325
2023-04,21.2,-1.0,9.71,90.0,53.37083333333333,763.69125,745.0516666666666,2.1125
2023-05,26.0,-3.6,12.313709677419356,58.2,61.50403225806452,766.0834677419356,747.5717741935483,1.5362903225806452
2023-06,27.9,2.6,16.363333333333333,88.4,61.96666666666667,761.5087500000001,743.3808333333333,1.9916666666666667
2023-07,30.8,9.2,18.554435483870968,173.7,73.27016129032258,756.7177419354839,738.8641129032258,2.0725806451612905
2023-08,31.7,6.6,19.761133603238868,122.0,74.02429149797571,761.6396761133603,743.751012145749,1.4210526315789473
2023-09,27.7,2.5,14.184583333333334,24.6,72.75416666666666,767.1925,748.7970833333333,1.3416666666666666
2023-10,19.1,-3.1,5.475403225806452,224.3,83.84274193548387,757.5979838709677,738.8411290322581,2.672064777327935
2023-11,17.8,-11.9,1.1420833333333333,216.8,85.11666666666666,755.8141666666667,736.7983333333334,2.745833333333333
2023-12,4.2,-14.5,-4.40766129032258,187.5,88.70564516129032,759.0943548387097,739.5927419354839,2.6411290322580645
2024-01,0.9,-29.1,-10.081048387096773,103.9,83.77822580645162,762.1927419354838,742.1770161290323,2.3830645161290325
2024-02,3.1,-22.3,-4.483620689655172,98.5,81.34482758620689,762.9237068965517,743.3228448275862,2.4956896551724137
2024-03,19.0,-16.9,-0.14798387096774193,16.1,74.29838709677419,765.4842741935485,746.1221774193548,1.6209677419354838
2024-04,25.9,-2.3,11.2825,88.0,65.14583333333333,760.2995833333333,741.8625,2.4541666666666666
2024-05,28.6,-2.9,11.738709677419354,91.4,59.29838709677419,764.3854838709677,745.8721774193548,1.75
2024-06,30.7,10.5,19.490416666666665,177.1,70.66666666666667,758.3670833333333,740.5308333333334,1.8541666666666667
2024-07,33.3,9.4,21.934677419354838,105.2,65.99193548387096,759.4612903225806,741.7552419354838,1.5685483870967742
2024-08,30.4,7.3,19.025403225806453,107.9,71.41129032258064,760.0399193548387,742.1326612903225,1.5
2024-09,30.2,0.3,17.282083333333333,2.4,54.50833333333333,767.94375,749.7129166666667,1.9958333333333333
2024-10,24.3,-4.1,8.087903225806452,154.7,77.14516129032258,764.828629032258,746.0713709677419,2.0
2024-11,10.0,-5.9,0.96875,131.5,86.66666666666667,763.2033333333333,743.995,2.5458333333333334
2024-12,2.4,-17.2,-2.1504032258064516,48.0,88.81451612903226,764.675806451613,745.2044354838711,2.4879032258064515
2025-01,7.0,-8.2,-0.23266129032258062,71.8,85.38306451612904,762.5064516129032,743.2278225806451,2.7379032258064515
2025-02,4.4,-18.0,-6.258035714285714,27.9,80.60714285714286,772.2236607142858,752.2473214285714,1.4375
2025-03,16.1,-13.1,3.4326612903225806,114.1,74.1975806451613,762.2649193548388,743.245564516129,2.2419354838709675
2025-04,27.0,-4.7,8.916666666666666,90.5,59.37083333333333,760.7808333333334,742.1558333333334,2.408333333333333
